,‰·“x,Ž¼“x
2016/1/22 22:07,24.713501,32.26
2016/1/22 22:08,24.724499,32.31
2016/1/22 22:09,24.733997,32.285004
2016/1/22 22:10,24.743496,32.225
2016/1/22 22:11,24.751577,32.21526
2016/1/22 22:12,24.718504,32.21
2016/1/22 22:13,24.7375,32.21
2016/1/22 22:14,24.7515,32.21
2016/1/22 22:15,24.736,32.21
2016/1/22 22:16,24.733498,32.21
2016/1/22 22:17,24.745787,32.21
2016/1/22 22:18,24.716,32.21
2016/1/22 22:19,24.744497,32.21
2016/1/22 22:20,24.750996,32.21
2016/1/22 22:21,24.759499,32.133503
2016/1/22 22:22,24.69842,32.220528
2016/1/22 22:23,24.717997,32.21
2016/1/22 22:24,24.767998,32.137997
2016/1/22 22:25,24.769997,32.12
2016/1/22 22:26,24.778498,32.12
2016/1/22 22:27,24.800526,32.114735
2016/1/22 22:28,24.773497,32.12
2016/1/22 22:29,24.759499,32.114998
2016/1/22 22:30,24.753498,32.06
2016/1/22 22:31,24.745998,32.12
2016/1/22 22:32,24.770998,32.090004
2016/1/22 22:33,24.764734,32.02
2016/1/22 22:34,24.77,32.02
2016/1/22 22:35,24.765,32.03
2016/1/22 22:36,24.728,32.07
2016/1/22 22:37,24.715996,32.064995
2016/1/22 22:38,24.767368,32.067368
2016/1/22 22:39,24.781998,32.02
2016/1/22 22:40,24.762997,32.02
2016/1/22 22:41,24.729998,32.02
2016/1/22 22:42,24.7245,32.085
2016/1/22 22:43,24.733498,32.04
2016/1/22 22:44,24.703686,32.03579
2016/1/22 22:45,24.7085,32.05
2016/1/22 22:46,24.700003,32.02
2016/1/22 22:47,24.672504,32.085
2016/1/22 22:48,24.677002,32.105
2016/1/22 22:49,24.645794,32.12
2016/1/22 22:50,24.626497,32.118996
2016/1/22 22:51,24.6175,32.116997
2016/1/22 22:52,24.606998,32.114
2016/1/22 22:53,24.580996,32.060005
2016/1/22 22:54,24.543684,32.052628
2016/1/22 22:55,24.514502,32.1
2016/1/22 22:56,24.461002,32.1
2016/1/22 22:57,24.4585,32.086502
2016/1/22 22:58,24.424006,32.041496
2016/1/22 22:59,24.372997,32.1
2016/1/22 23:00,24.40316,32.1
2016/1/22 23:01,24.462502,32.1
2016/1/22 23:02,24.498499,32.073006
2016/1/22 23:03,24.530502,32.010002
2016/1/22 23:04,24.510002,32.010002
2016/1/22 23:05,24.468948,32.01474
2016/1/22 23:06,24.431501,32.041504
2016/1/22 23:07,24.413502,32.041496
2016/1/22 23:08,24.424,32.1
2016/1/22 23:09,24.4855,32.010002
2016/1/22 23:10,24.545996,31.964996
2016/1/22 23:11,24.549475,31.909998
2016/1/22 23:12,24.556496,31.909998
2016/1/22 23:13,24.5425,31.909998
2016/1/22 23:14,24.478,31.920002
2016/1/22 23:15,24.446503,32.005005
2016/1/22 23:16,24.47316,32.010002
2016/1/22 23:17,24.5105,31.934998
2016/1/22 23:18,24.4995,31.919998
2016/1/22 23:19,24.483501,31.940002
2016/1/22 23:20,24.4775,31.919998
2016/1/22 23:21,24.493504,31.939997
2016/1/22 23:22,24.515263,31.909998
2016/1/22 23:23,24.5025,31.909998
2016/1/22 23:24,24.533499,31.875
2016/1/22 23:25,24.494503,31.899998
2016/1/22 23:26,24.519997,31.865
2016/1/22 23:27,24.535791,31.810001
2016/1/22 23:28,24.528498,31.810001
2016/1/22 23:29,24.492,31.869995
2016/1/22 23:30,24.502,31.814999
2016/1/22 23:31,24.483004,31.819998
2016/1/22 23:32,24.49105,31.85737
2016/1/22 23:33,24.503998,31.810001
2016/1/22 23:34,24.494,31.810001
2016/1/22 23:35,24.482,31.810001
2016/1/22 23:36,24.476503,31.810001
2016/1/22 23:37,24.4585,31.810001
2016/1/22 23:38,24.466843,31.810001
2016/1/22 23:39,24.455502,31.849997
2016/1/22 23:40,24.479498,31.884998
2016/1/22 23:41,24.492,31.819998
2016/1/22 23:42,24.474499,31.814999
2016/1/22 23:43,24.452633,31.899471
2016/1/22 23:44,24.444502,31.909998
2016/1/22 23:45,24.424503,31.909998
2016/1/22 23:46,24.389996,31.909998
2016/1/22 23:47,24.392,31.959997
2016/1/22 23:48,24.370998,31.980005
2016/1/22 23:49,24.353155,32.010002
2016/1/22 23:50,24.360498,32.010002
2016/1/22 23:51,24.331997,32.010002
2016/1/22 23:52,24.3275,32.014503
2016/1/22 23:53,24.325497,32.032505
2016/1/22 23:54,24.304737,32.085785
2016/1/22 23:55,24.2685,32.099495
2016/1/22 23:56,24.2405,32.094
2016/1/22 23:57,24.250498,32.095505
2016/1/22 23:58,24.254,32.096508
2016/1/22 23:59,24.237495,32.092003
2016/1/23 0:00,24.229471,32.091583
2016/1/23 0:01,24.1855,32.170998
2016/1/23 0:02,24.154,32.179996
2016/1/23 0:03,24.1665,32.179996
2016/1/23 0:04,24.144001,32.179996
2016/1/23 0:05,24.132633,32.21158
2016/1/23 0:06,24.140997,32.184994
2016/1/23 0:07,24.148998,32.179996
2016/1/23 0:08,24.114498,32.195
2016/1/23 0:09,24.110996,32.27
2016/1/23 0:10,24.119995,32.199993
2016/1/23 0:11,24.088417,32.20631
2016/1/23 0:12,24.057505,32.280006
2016/1/23 0:13,24.039,32.280006
2016/1/23 0:14,24.053503,32.280006
2016/1/23 0:15,24.081997,32.275
2016/1/23 0:16,24.066841,32.280003
2016/1/23 0:17,24.069998,32.280006
2016/1/23 0:18,24.0405,32.280006
2016/1/23 0:19,24.023998,32.280006
2016/1/23 0:20,23.984499,32.325
2016/1/23 0:21,23.977367,32.38
2016/1/23 0:22,23.998499,32.330006
2016/1/23 0:23,23.959497,32.365
2016/1/23 0:24,23.958998,32.38
2016/1/23 0:25,23.989996,32.355003
2016/1/23 0:26,23.977,32.29
2016/1/23 0:27,23.962103,32.364212
2016/1/23 0:28,23.968498,32.38
2016/1/23 0:29,23.969997,32.350006
2016/1/23 0:30,23.988998,32.29
2016/1/23 0:31,24.006998,32.280006
2016/1/23 0:32,23.996313,32.280003
2016/1/23 0:33,23.982998,32.280006
2016/1/23 0:34,23.996498,32.280006
2016/1/23 0:35,24.019497,32.239998
2016/1/23 0:36,23.971497,32.27
2016/1/23 0:37,23.983498,32.280006
2016/1/23 0:38,23.989498,32.275005
2016/1/23 0:39,23.97842,32.25369
2016/1/23 0:40,23.970999,32.275005
2016/1/23 0:41,23.955498,32.280006
2016/1/23 0:42,23.9385,32.280006
2016/1/23 0:43,23.9475,32.280006
2016/1/23 0:44,23.95105,32.280003
2016/1/23 0:45,23.9395,32.280006
2016/1/23 0:46,23.912998,32.271004
2016/1/23 0:47,23.924004,32.280006
2016/1/23 0:48,23.896,32.264004
2016/1/23 0:49,23.894001,32.262005
2016/1/23 0:50,23.875788,32.260002
2016/1/23 0:51,23.8555,32.265007
2016/1/23 0:52,23.8685,32.260002
2016/1/23 0:53,23.884003,32.261005
2016/1/23 0:54,23.866001,32.260002
2016/1/23 0:55,23.868423,32.260002
2016/1/23 0:56,23.877499,32.260002
2016/1/23 0:57,23.84,32.260002
2016/1/23 0:58,23.808002,32.285
2016/1/23 0:59,23.789003,32.359993
2016/1/23 1:00,23.803501,32.359993
2016/1/23 1:01,23.808422,32.32316
2016/1/23 1:02,23.807001,32.275005
2016/1/23 1:03,23.791004,32.309994
2016/1/23 1:04,23.7845,32.359993
2016/1/23 1:05,23.785,32.354992
2016/1/23 1:06,23.783686,32.32316
2016/1/23 1:07,23.766499,32.359993
2016/1/23 1:08,23.773499,32.359993
2016/1/23 1:09,23.762499,32.354992
2016/1/23 1:10,23.772497,32.339993
2016/1/23 1:11,23.748419,32.31263
2016/1/23 1:12,23.7075,32.359993
2016/1/23 1:13,23.7095,32.359993
2016/1/23 1:14,23.706999,32.359993
2016/1/23 1:15,23.7235,32.359993
2016/1/23 1:16,23.7365,32.359993
2016/1/23 1:17,23.72842,32.317894
2016/1/23 1:18,23.691502,32.354992
2016/1/23 1:19,23.653004,32.359993
2016/1/23 1:20,23.645004,32.359993
2016/1/23 1:21,23.661503,32.359993
2016/1/23 1:22,23.66948,32.359993
2016/1/23 1:23,23.689503,32.359993
2016/1/23 1:24,23.695503,32.349995
2016/1/23 1:25,23.7155,32.265003
2016/1/23 1:26,23.701504,32.260002
2016/1/23 1:27,23.680004,32.260002
2016/1/23 1:28,23.688425,32.260002
2016/1/23 1:29,23.7095,32.260002
2016/1/23 1:30,23.684504,32.260002
2016/1/23 1:31,23.706,32.260002
2016/1/23 1:32,23.681004,32.260002
2016/1/23 1:33,23.674213,32.260002
2016/1/23 1:34,23.664005,32.260002
2016/1/23 1:35,23.649502,32.260002
2016/1/23 1:36,23.627,32.285
